month,DE,SK,PL,FR,AT,IT,HU,NL,GB,ES,BE,SE,RO,CH,SI,TR,US,CN,RU,UA,BG,HR,GR,DK,FI,NO,PT,LT,LV,IE
2013-08,69936.0,21405.0,14214.0,9155.0,10529.0,5693.0,5621.0,4762.0,10234.0,3845.0,5116.0,3487.0,2772.0,3612.0,976.0,2860.0,4915.0,2386.0,7801.0,2633.0,957.0,603.0,303.0,1677.0,978.0,1279.0,487.0,835.0,510.0,386.0
2013-09,79969.0,24074.0,15903.0,12088.0,11999.0,9291.0,6489.0,5576.0,12218.0,5033.0,6106.0,3729.0,3216.0,3931.0,1084.0,2770.0,5381.0,2733.0,8461.0,2555.0,1199.0,623.0,382.0,1698.0,1261.0,1266.0,620.0,975.0,482.0,506.0
2013-10,81924.0,26740.0,16297.0,12380.0,12791.0,8890.0,7060.0,5934.0,12057.0,5594.0,6288.0,3665.0,3490.0,3776.0,1199.0,3493.0,5713.0,2857.0,10308.0,2463.0,1268.0,669.0,469.0,2230.0,1231.0,1554.0,714.0,999.0,533.0,754.0
2013-11,85141.0,26472.0,16226.0,12081.0,12511.0,9053.0,7404.0,6062.0,11339.0,5713.0,6484.0,3372.0,3550.0,4062.0,1304.0,3562.0,5191.0,2528.0,9750.0,2667.0,1460.0,733.0,444.0,3059.0,1200.0,1353.0,848.0,1008.0,477.0,824.0
2013-12,63303.0,23042.0,13591.0,9946.0,9474.0,7377.0,5791.0,5393.0,8365.0,4263.0,5395.0,2795.0,2915.0,3263.0,1020.0,2736.0,5135.0,2603.0,7442.0,2741.0,1024.0,611.0,409.0,2661.0,1032.0,913.0,462.0,1027.0,409.0,683.0
2014-01,82502.0,22317.0,15148.0,12960.0,11146.0,8917.0,6846.0,5764.0,13379.0,5911.0,5893.0,3554.0,3268.0,3540.0,1125.0,3721.0,5008.0,2589.0,8269.0,1918.0,991.0,601.0,425.0,3239.0,1342.0,1064.0,817.0,735.0,340.0,832.0
2014-02,81739.0,22065.0,16068.0,12080.0,12661.0,9337.0,6662.0,5600.0,12586.0,6320.0,6035.0,3579.0,3277.0,3580.0,1113.0,3000.0,5175.0,2441.0,8213.0,1567.0,1301.0,687.0,377.0,2999.0,1220.0,979.0,756.0,826.0,334.0,705.0
2014-03,88016.0,25066.0,16919.0,13196.0,12498.0,10801.0,7540.0,6165.0,12900.0,6932.0,6943.0,3989.0,3354.0,4064.0,1236.0,3153.0,5307.0,2658.0,8355.0,1625.0,1562.0,885.0,433.0,3678.0,1278.0,1334.0,903.0,1043.0,400.0,632.0
2014-04,84929.0,24669.0,16942.0,12741.0,12586.0,9767.0,7561.0,6201.0,11841.0,6230.0,6781.0,3686.0,3514.0,3807.0,1181.0,3206.0,5844.0,2724.0,8695.0,1404.0,1518.0,893.0,487.0,3322.0,1465.0,1176.0,926.0,1128.0,386.0,802.0
2014-05,84058.0,24220.0,15888.0,11815.0,11745.0,10328.0,7444.0,6228.0,11755.0,6594.0,5962.0,3847.0,3342.0,3769.0,1162.0,2617.0,5649.0,2673.0,7980.0,1390.0,1922.0,1073.0,447.0,2698.0,1153.0,975.0,841.0,1018.0,366.0,465.0
2014-06,83430.0,25164.0,16444.0,13609.0,11946.0,10598.0,7579.0,6000.0,13351.0,6808.0,6898.0,3574.0,3414.0,3939.0,1383.0,2749.0,6171.0,2662.0,9220.0,1527.0,1795.0,798.0,417.0,2723.0,1318.0,1176.0,796.0,866.0,393.0,745.0
2014-07,86958.0,23851.0,17570.0,13813.0,11875.0,10144.0,7585.0,6282.0,13299.0,5959.0,6019.0,2933.0,3477.0,4101.0,1354.0,2568.0,5871.0,2802.0,9605.0,1504.0,1624.0,878.0,542.0,2896.0,1356.0,1132.0,899.0,943.0,487.0,667.0
2014-08,72336.0,22300.0,14712.0,10043.0,9761.0,6611.0,6048.0,5185.0,10598.0,3573.0,5008.0,3026.0,2814.0,3390.0,945.0,2148.0,5119.0,2768.0,7402.0,1160.0,1717.0,673.0,390.0,2303.0,1100.0,973.0,494.0,1157.0,419.0,491.0
2014-09,94463.0,27000.0,18688.0,14409.0,12701.0,10850.0,7852.0,6993.0,13696.0,6591.0,6726.0,4191.0,3790.0,4841.0,1440.0,3149.0,6450.0,3048.0,8682.0,1381.0,1399.0,897.0,489.0,3063.0,1359.0,1334.0,822.0,946.0,483.0,463.0
2014-10,92388.0,28292.0,19714.0,14541.0,13176.0,10191.0,8241.0,6876.0,13736.0,7313.0,7370.0,3849.0,3930.0,4223.0,1233.0,3567.0,6608.0,3039.0,8399.0,1515.0,1564.0,846.0,504.0,3034.0,1356.0,1395.0,923.0,964.0,540.0,793.0
2014-11,88688.0,27072.0,18332.0,12793.0,11908.0,9741.0,8309.0,6725.0,12570.0,6834.0,6238.0,3541.0,3738.0,3707.0,1292.0,3369.0,6002.0,2862.0,7415.0,1655.0,1844.0,839.0,579.0,2791.0,1407.0,1255.0,1003.0,1003.0,742.0,848.0
2014-12,70827.0,25125.0,15514.0,11539.0,9395.0,7997.0,6452.0,6198.0,10506.0,5121.0,5333.0,2997.0,2988.0,3702.0,1170.0,2791.0,6363.0,3392.0,6827.0,1470.0,1283.0,886.0,597.0,2391.0,1205.0,1092.0,641.0,808.0,417.0,813.0
2015-01,83175.584003,23832.743219,15478.819067,12925.040017,10778.526737,9436.71772,7962.714379,5746.348591,13798.558222,7233.211337,6515.11267,3571.383385,3284.829704,4029.221186,1183.070782,3284.102428,6062.044459,2758.550655,4843.409585,804.008913,1206.478599,876.812763,464.33434,2141.444196,1454.779592,1184.457914,853.908773,766.899311,347.220799,1115.202721
2015-02,86352.594582,25405.305474,16663.286068,12252.558877,11309.232328,9602.46316,8234.553145,6133.02101,14563.436165,7016.471333,6353.049762,3525.979258,3371.743735,4344.030653,1149.062014,3328.300275,5766.888141,2887.47304,5111.665526,974.820986,1239.650874,942.838912,543.785346,2145.208341,1311.695075,1108.537999,864.020651,765.357317,475.097217,876.755531
2015-03,96165.338076,28983.901075,19004.959901,15000.855869,12838.806875,10806.800363,9112.704839,7233.119435,15191.52978,7094.463245,6863.715076,3999.281719,3995.142543,4806.726973,1318.861934,3333.248931,7000.501538,3342.25625,5567.487289,936.254889,1962.380499,966.551201,614.398355,2260.254881,1451.379272,1354.621811,1024.209393,857.712999,446.886049,902.412514
2015-04,89020.429753,26199.618265,17381.550805,13583.684986,11571.109048,9900.565228,7993.487715,6448.758191,13612.704778,6916.954569,5879.281101,4008.134939,3108.415293,4321.75701,1222.115086,3084.465346,7042.206702,2950.321099,6604.202436,1240.529138,1811.974078,721.815945,507.20313,2107.38793,1398.241839,1159.544929,1006.656103,857.876353,519.353849,870.096468
2015-05,82524.295521,25845.832267,16870.277972,12149.935045,10845.153192,10642.842342,7649.961982,5862.068102,12579.810926,6961.750702,5660.219879,3815.374972,3278.171995,3946.981517,1226.644494,2965.335957,6715.187873,3015.2047,5645.914483,1046.441517,1551.183624,1100.686188,558.577021,2010.651068,1158.481236,1013.112007,915.945521,944.292479,520.235648,742.771353
2015-06,92270.957696,29098.960786,18510.764882,15416.20349,11805.281696,11304.253998,8460.517666,7274.132083,14155.562388,8177.733375,6722.481464,4788.499849,3894.871917,4970.622105,1386.842409,3341.416171,6901.485219,2977.328892,6216.084712,1060.858432,1742.672653,967.886173,682.815828,2182.7527,1280.116352,1237.608097,1024.214659,860.009223,456.286995,961.06331
2015-07,89871.648173,27111.171752,16315.820668,13065.252133,11145.791592,10311.05263,8575.146957,6237.600711,13860.008243,7165.028715,5064.153704,2931.110683,3677.849127,4567.773016,1265.118896,3331.368731,6738.848114,2981.897352,5272.02067,1116.275224,1699.392232,800.821152,236.103628,1907.62394,1397.855774,1212.747642,815.156349,994.377063,621.573263,784.600744
2015-08,75607.715032,25389.023043,13956.545127,9192.32217,9778.203105,6072.89879,7086.603509,5097.234398,11694.028989,4282.608304,4643.686794,3454.995865,2970.825063,3502.16862,1070.600758,2330.318507,5971.39192,2332.72381,4850.669346,960.892747,1403.753583,752.715927,310.181131,1717.188168,1119.913649,853.728874,775.490184,776.026743,461.311106,789.950489
2015-09,92111.054244,30493.652083,17983.940244,13968.718871,12622.419452,10555.956346,9013.005017,6457.832477,13933.740259,7975.030119,6043.897429,4755.820526,4036.494533,4510.42339,1361.618108,3488.280381,6734.706223,2537.975139,5660.206656,1262.985806,1684.216115,986.519354,465.130113,2203.343555,1538.030274,1220.679366,1154.194744,851.489263,598.656323,1159.403787
2015-10,95980.812176,32484.760187,18242.941653,14191.205867,12462.380751,10271.236414,8700.803419,6980.643165,15054.455362,8760.599522,6335.224726,4540.86637,4341.477951,4155.206539,1345.400923,3482.073638,6286.93219,2748.760196,5356.917291,1204.317692,1758.772817,954.058152,540.96433,2434.687431,1617.136571,1341.316777,988.841518,910.27794,526.766829,1025.716175
2015-11,94426.574887,32601.042178,17540.854471,13803.180704,12435.510127,10480.349191,8780.035151,6678.035491,14690.839658,8186.08057,6092.56526,4405.271054,3833.797048,3893.517571,1400.757881,3337.072763,6604.290319,2855.592412,5432.826889,1311.879024,1474.318833,979.199516,579.749463,2132.209557,1401.82166,1287.759024,849.695515,875.264104,448.534916,1092.068416
2015-12,71549.885855,30323.29864,16160.093735,11385.328579,9470.23123,8279.872472,7355.116587,5780.386459,10734.704307,5854.765773,5062.066559,3451.632415,3089.167762,3202.564308,1226.234873,2503.089513,6387.812089,3335.014462,5464.342161,1164.444142,1362.337127,778.613794,603.626674,2081.001084,1109.164803,988.877801,614.01536,916.749786,451.020219,1353.899088
